"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.4232600495748","33.2646206855821","33.0765977637713","32.8803606384624","32.7361876198691","32.7011822957877","32.5860677308411","32.5277688660439","32.5178767179399","32.5145416242788","32.4786947185584","32.5190104767421","32.5825367601721","32.6650651954325","32.777012967548","32.9318077203428","32.8414250151444","32.7858275766096","32.7773644302262","32.8307063310083","32.9505002831003","33.2371431423348","33.5987286237915","34.0112328876925","34.4452694937467","34.8833685636095","35.2965689625414","35.675703971615","35.7977931487833","35.9245849752917",
"Angola","AGO","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.6359629983814","47.6756197210788","47.7336796445517","47.7582291358751","47.8727472602139","48.0085204546658","48.090158205233","48.17895428389","48.275523431356","48.3710077050751","48.4670445796634","48.5218475009255","48.5589728951662","48.6331982651544","48.7253922359683","48.836794482139","48.9212385666645","49.0228864100807","49.1073730541288","49.1614816265589","49.2194442712555","49.2450370456571","49.2901510577294","49.3517357497143","49.4148197899719","49.4777544499592","49.5372347735794","49.5995103278229","49.6385239281887","49.67614156382",
"Albania","ALB","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.9759797120152","42.3238622599066","43.0994220409345","43.4642125834054","43.8162139832994","43.9050629841757","43.4072922138089","43.1474767442369","42.3693258864636","41.6026257986041","41.1323336868235","40.9747234383003","41.016966900147","41.2654053049976","41.5466083938398","41.806163069956","42.0498932100544","42.2492756126801","42.4066560775506","41.5451246233908","42.3811186301316","42.4085960935859","42.4687688509447","41.4617962617243","40.9356840389339","41.8689139624542","41.7517292527509","41.682145107931","41.6598445695729","41.6596389476315",
"Andorra","AND","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4811514181849","19.5073432511083","19.4838106189929","19.5955956030585","19.84347375244","19.8566267064494","19.8444400506642","19.7306598260057","19.6792570847304","20.0299760937256","20.1257256525006","20.1689762104415","19.8151814732323","19.9812282341744","20.0350451765882","20.0472703232396","20.1084981915319","20.4050754650927","19.9940685284662","20.0667715149968","19.9960951096178","20.0285805534076","20.1396891925627","20.3315814823091","20.3538204396001","20.2987971349309","20.4342318151614","20.3797683781899","20.3646895849956","20.3493431589405",
"United Arab Emirates","ARE","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8247439516853","11.0158699605404","11.1788810871942","11.3816444303953","11.5077643616974","11.6237068847865","11.7496436626071","11.850661555938","11.9214030110577","11.9632030208069","11.976435362422","12.1743635521425","12.371585649533","12.4725914561076","12.3671677717997","12.0532912959025","11.7249607564165","11.3646761054003","11.1374906824424","11.1416445928786","11.3967899047684","12.0092981350896","12.8155081675366","13.7461026753282","14.6774748046225","15.5004104046511","16.1401466404579","16.7443061043059","16.8796042167669","16.9806904961556",
"Argentina","ARG","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.1106214865067","38.9528288180154","39.8110492020718","40.4348323360931","40.9972947075812","41.1211590355248","41.6021244216014","42.1205180928602","42.4063262180357","42.3255541069342","42.2897353806979","42.1055827216185","41.543682446659","41.7481812876484","41.9623109829633","41.6183971781402","41.8423135310174","41.5465591217308","41.2577351097585","41.582520674704","41.1402698659136","41.195938603013","41.3492505971788","41.185293708739","40.98967185397","41.3527069146185","41.7260753391745","42.0954964327106","42.0469205578632","41.9960767452215",
"Armenia","ARM","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4456524634686","43.6844345150439","44.0035626089151","44.3858055004514","44.804865049862","45.2268602815185","45.5692225400769","45.8825566064421","46.156633695481","46.3835959751744","46.561261684098","46.557669685486","46.505707900179","46.4294572664123","46.3570526671298","46.3111319756435","46.2664907853133","46.2620620725854","46.2718751453514","46.331109214283","45.6445452634783","47.1291964855502","47.167539629466","47.3979557563737","46.9275488180047","46.7196099498274","45.9828194955047","45.9757044819385","45.9914417308174","45.9889670060598",
"American Samoa","ASM","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
