Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Azerbaijan,AZE,2006,DHS: Gross attendance rate. Post Secondary,HH.DHS.GAR.456,13.0208353889646
Azerbaijan,AZE,2006,DHS: Gross attendance rate. Post Secondary. Female,HH.DHS.GAR.456.F,12.4051501304161
Azerbaijan,AZE,2006,DHS: Gross attendance rate. Post Secondary. Male,HH.DHS.GAR.456.M,13.763636799553
Azerbaijan,AZE,2006,DHS: Gross attendance rate. Post Secondary. Quintile 1,HH.DHS.GAR.456.Q1,2.66752277664734
Azerbaijan,AZE,2006,DHS: Gross attendance rate. Post Secondary. Quintile 2,HH.DHS.GAR.456.Q2,4.63140613148086
Azerbaijan,AZE,2006,DHS: Gross attendance rate. Post Secondary. Quintile 3,HH.DHS.GAR.456.Q3,7.64655599807702
Azerbaijan,AZE,2006,DHS: Gross attendance rate. Post Secondary. Quintile 4,HH.DHS.GAR.456.Q4,15.6963511899909
Azerbaijan,AZE,2006,DHS: Gross attendance rate. Post Secondary. Quintile 5,HH.DHS.GAR.456.Q5,30.5274734533942
Azerbaijan,AZE,2006,DHS: Gross attendance rate. Post Secondary. Rural,HH.DHS.GAR.456.R,6.10552667852055
Azerbaijan,AZE,2006,DHS: Gross attendance rate. Post Secondary. Urban,HH.DHS.GAR.456.U,18.6073819573516
Azerbaijan,AZE,2006,DHS: Net attendance rate. Primary,HH.DHS.NAR.1,79.2728781365873
Azerbaijan,AZE,2006,DHS: Net attendance rate. Primary. Female,HH.DHS.NAR.1.F,79.9841113216216
Azerbaijan,AZE,2006,DHS: Net attendance rate. Primary. Male,HH.DHS.NAR.1.M,78.686470488087
Azerbaijan,AZE,2006,DHS: Net attendance rate. Primary. Quintile 1,HH.DHS.NAR.1.Q1,76.8367653208942
Azerbaijan,AZE,2006,DHS: Net attendance rate. Primary. Quintile 2,HH.DHS.NAR.1.Q2,80.0211207010673
Azerbaijan,AZE,2006,DHS: Net attendance rate. Primary. Quintile 3,HH.DHS.NAR.1.Q3,78.7304970304509
Azerbaijan,AZE,2006,DHS: Net attendance rate. Primary. Quintile 4,HH.DHS.NAR.1.Q4,78.5420277752996
Azerbaijan,AZE,2006,DHS: Net attendance rate. Primary. Quintile 5,HH.DHS.NAR.1.Q5,83.8432942211842
Azerbaijan,AZE,2006,DHS: Net attendance rate. Primary. Rural,HH.DHS.NAR.1.R,77.4289395253984
Azerbaijan,AZE,2006,DHS: Net attendance rate. Primary. Urban,HH.DHS.NAR.1.U,81.1062749217846
Azerbaijan,AZE,2006,DHS: Net attendance rate. Secondary,HH.DHS.NAR.23,85.3440229604019
Azerbaijan,AZE,2006,DHS: Net attendance rate. Secondary. Female,HH.DHS.NAR.23.F,84.5377892682019
Azerbaijan,AZE,2006,DHS: Net attendance rate. Secondary. Male,HH.DHS.NAR.23.M,86.0696748513445
Azerbaijan,AZE,2006,DHS: Net attendance rate. Secondary. Quintile 1,HH.DHS.NAR.23.Q1,79.3023723861095
Azerbaijan,AZE,2006,DHS: Net attendance rate. Secondary. Quintile 2,HH.DHS.NAR.23.Q2,84.1911395187929
Azerbaijan,AZE,2006,DHS: Net attendance rate. Secondary. Quintile 3,HH.DHS.NAR.23.Q3,85.4540910675478
Azerbaijan,AZE,2006,DHS: Net attendance rate. Secondary. Quintile 4,HH.DHS.NAR.23.Q4,89.4490020757463
Azerbaijan,AZE,2006,DHS: Net attendance rate. Secondary. Quintile 5,HH.DHS.NAR.23.Q5,89.6184026009881
Azerbaijan,AZE,2006,DHS: Net attendance rate. Secondary. Rural,HH.DHS.NAR.23.R,82.9848433762037
Azerbaijan,AZE,2006,DHS: Net attendance rate. Secondary. Urban,HH.DHS.NAR.23.U,87.3941862903915
Azerbaijan,AZE,2006,DHS: Net intake rate for the first grade of primary education,HH.DHS.NIR.1,36.6822112456629
Azerbaijan,AZE,2006,DHS: Net intake rate for the first grade of primary education. Female,HH.DHS.NIR.1.F,38.8017892524245
